sound_type;id;duration;dom_freq;min_freq;max_freq;pace;amplitude;comments
66;066_R_VILOAM_20140626_170000_061;0,612;4779;;;;;
67;067_L_BEARAV_20140620_200000_001;0,955;1411;;;;;
68;068_L_BEARAV_20140620_200000_005;0,158;8944;;;;;
68;068_L_BEARAV_20140620_220000_001;0,198;7407;;;;;
68;068_L_BEARAV_20140704_100000_004;0,227;11062;;;;;
68;068_L_BEARAV_20140704_120000_007;0,056;10297;;;;;
68;068_L_BEARAV_20140704_130000_003;0,384;11678;;;;;
68;068_L_GRANAM_20140620_120000_004;0,208;14433;;;;;
69;069_L_BEARAV_20140622_110000_025;0,349;2995;;;;;
69;069_L_BEARAV_20140622_110000_029;0,133;3019;;;;;
69;069_L_BEARAV_20140701_120000_058;0,372;3718;;;;;
69;069_L_BEARAV_20140701_180000_012;0,329;3097;;;;;
69;069_L_GRANAM_20140620_020000_007;0,417;1618;;;;;
69;069_L_GRANAM_20140622_220000_004;0,687;1703;;;;;
70;070_L_BEARAV_20140626_140000_001;0,025;1864;;;;;
70;070_L_BEARAV_20140701_150000_001;0,024;4946;;;;;
70;070_L_BEARAV_20140701_180000_001;0,026;3336;;;;;
70;070_L_GRANAM_20140626_120000_001;0,024;3746;;;;;
70;070_L_GRANAM_20140626_130000_001;0,033;3678;;;;;
71;071_L_BEARAV_20140620_150000_004;0,254;8482;;;;;
71;071_L_BEARAV_20140622_170000_021;0,177;8433;;;;;
71;071_L_BEARAV_20140701_170000_001;0,261;2693;;;;;
71;071_L_BEARAV_20140704_000000_053;0,163;10906;;;;;
71;071_R_MOIRAM_20140620_140000_009;0,178;12861;;;;;
71;071_R_VILOAM_20140626_090000_016;0,077;3954;;;;;
72;072_L_BEARAV_20140704_090000_015;0,216;10358;;;;;
72;072_L_BEARAV_20140704_090000_019;0,201;10206;;;;;
72;072_L_BEARAV_20140704_090000_023;0,085;10148;;;;;
72;072_L_BEARAV_20140704_090000_027;0,137;10415;;;;;
72;072_L_BEARAV_20140704_090000_029;0,111;10168;;;;;
72;072_L_ROSSAM_20140701_030000_001;0,062;7301;;;;;
73;073_L_MORTCE_20140620_140000_003;0,676;1190;;;;;
73;073_L_MORTCE_20140704_170000_035;2,555;4279;;;;;
73;073_R_MOIRAM_20140626_020000_004;0,137;2627;;;;;
73;073_R_MORTCE_20140622_190000_010;0,537;6037;;;;;
73;073_R_VILOAM_20140620_130000_001;0,138;6733;;;;;
73;073_R_VILOAM_20140701_170000_015;0,713;1658;;;;;
74;074_L_GRANAM_20140620_020000_010;3,519;329;;;;;
74;074_L_GRANAM_20140626_100000_001;10;600;;;;;
74;074_R_GRANAM_20140622_170000_002;10;394;;;;;
74;074_R_GRANAM_20140701_200000_001;10;109;;;;;
74;074_R_GRANAM_20140704_140000_001;10;600;;;;;
74;074_R_VILOAM_20140620_160000_001;10;609;;;;;
75;075_L_GRANAM_20140620_140000_017;0,025;2544;;;;;
75;075_L_MORTCE_20140622_080000_024;0,022;7578;;;;;
75;075_L_ROSSAM_20140626_120000_003;0,018;4433;;;;;
75;075_R_GRANAM_20140701_050000_004;0,015;1973;;;;;
75;075_R_MOIRAM_20140701_140000_014;0,016;6431;;;;;
75;075_L_VILOAM_20140704_050000_009;0,019;5468;;;;;
76;076_L_GRANAM_20140620_040000_027;0,136;2685;;;;;
76;076_L_GRANAM_20140620_040000_027;0,151;3698;;;;;
76;076_L_GRANAM_20140620_040000_027;0,116;2388;;;;;
76;076_L_GRANAM_20140620_040000_027;0,127;3712;;;;;
77;077_L_GRANAM_20140620_100000_018;0,057;2681;;;;;
77;077_L_MOIRAM_20140701_120000_001;0,023;3458;;;;;
77;077_L_MORTCE_20140701_210000_006;0,025;4168;;;;;
77;077_L_VILOAM_20140622_020000_022;0,039;3936;;;;;
77;077_R_VILOAM_20140626_050000_004;0,085;1876;;;;;
